ACV-106,4356
ACV-127,276
ACV-130,932
ACV-174,2657
ACV-192,1334
ACV-224,12995
ACV-225,53
ACV-226,6095
ACV-229,3129
ACV-231,338
ACV-233,148
ACV-234,322
ACV-237,4972
ACV-238,172
ACV-240,1106
ACV-241,265
ACV-242,179
ACV-244,844
ACV-245,1929
ACV-246,20633
ACV-247,469
ACV-248,1110
ACV-249,255
ACV-251,830
ACV-252,6567
ACV-253,203
ACV-254,219
ACV-256,470
ACV-259,315
ACV-260,10567
ACV-263,118
ACV-265,167
ACV-267,7236
ACV-268,12194
ACV-269,5569
ACV-273,1474
ACV-274,1373
ACV-275,2054
ACV-281,21590
ACV-285,2774
ACV-287,265
ACV-288,20257
ACV-289,3848
ACV-291,1532
ACV-294,232
